TICKET;EMPRESA;SETOR;SEGMENTO;DIV ULT;DIV MEDIO;DIV MEDIANA;PRECO ATUAL;TAXA ULT;TAXA M;TAXA MD
FESA4;CIA FERRO LIGAS DA BAHIA - FERBASA;Materiais Básicos;Siderurgia;0.84;0.77;0.86;55.4;1.39;1.39;1.55
FHER3;FERTILIZANTES HERINGER S.A.;Materiais Básicos;Fertilizantes e Defensivos;0;0;0.0;15.85;0.0;0.0;0.0
FLRY3;FLEURY S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;1.05;0.74;0.85;15.16;4.88;4.88;5.61
FRAS3;FRAS-LE S.A.;Bens Industriais;Material Rodoviário;0.3;0.17;0.16;10.45;1.63;1.63;1.53
FRIO3;METALFRIO SOLUTIONS S.A.;Bens Industriais;Máq. e Equip. Industriais;0;0.0;0.0;41.5;0.0;0.0;0.0
FRTA3;POMIFRUTAS S/A;Consumo não Cíclico;Agricultura;0;0.0;0.0;3.1;0.0;0.0;0.0
GEPA3;RIO PARANAPANEMA ENERGIA S.A.;Utilidade Pública;Energia Elétrica;2.94;3.43;3.39;27.37;12.53;12.53;12.39
GEPA4;RIO PARANAPANEMA ENERGIA S.A.;Utilidade Pública;Energia Elétrica;2.94;3.51;3.39;25.27;13.89;13.89;13.42
GFSA3;GAFISA S.A.;Consumo Cíclico;Incorporações;0;0.09;0.0;1.34;6.72;6.72;0.0
GGBR4;GERDAU S.A.;Materiais Básicos;Siderurgia;3.07;0.51;0.27;27.46;1.86;1.86;0.98
GGPS3;GPS PARTICIPACOES E EMPREENDIMENTOS S.A.;Bens Industriais;Serviços Diversos;0.19;0.02;0.0;12.7;0.16;0.16;0.0
GOAU3;METALURGICA GERDAU S.A.;Materiais Básicos;Siderurgia;2.32;0.4;0.19;10.73;3.73;3.73;1.77
GOAU4;METALURGICA GERDAU S.A.;Materiais Básicos;Siderurgia;2.32;0.4;0.19;11.79;3.39;3.39;1.61
GOLL4;GOL LINHAS AEREAS INTELIGENTES S.A.;Bens Industriais;Transporte Aéreo;0;0;0.0;11.62;0.0;0.0;0.0
GPAR3;CIA CELG DE PARTICIPACOES - CELGPAR;Utilidade Pública;Energia Elétrica;0.05;0.1;0.0;29.5;0.34;0.34;0.0
GPIV33;GP INVESTMENTS. LTD.;Financeiro;Gestão de Recursos e Investimentos;0;0;0.0;4.67;0.0;0.0;0.0
GRND3;GRENDENE S.A.;Consumo Cíclico;Calçados;0.87;0.54;0.49;8.11;6.66;6.66;6.04
GSHP3;GENERAL SHOPPING E OUTLETS DO BRASIL S.A.;Financeiro;Exploração de Imóveis;0;11.36;0.0;25.2;45.08;45.08;0.0
GUAR3;GUARARAPES CONFECCOES S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados;0.47;0.96;0.69;7.62;12.6;12.6;9.06
HAGA3;HAGA S.A. INDUSTRIA E COMERCIO;Bens Industriais;Produtos para Construção;0;0;0.0;3.05;0.0;0.0;0.0
HAGA4;HAGA S.A. INDUSTRIA E COMERCIO;Bens Industriais;Produtos para Construção;0;0;0.0;1.38;0.0;0.0;0.0
HBOR3;HELBOR EMPREENDIMENTOS S.A.;Consumo Cíclico;Incorporações;0.05;0.29;0.18;2.75;10.55;10.55;6.55
HBTS5;CIA HABITASUL DE PARTICIPACOES;Financeiro;Exploração de Imóveis;0.16;0.51;0.35;44.89;1.14;1.14;0.78
HETA3;HERCULES S.A. FABRICA DE TALHERES;Consumo Cíclico;Utensílios Domésticos;0;0.0;0.0;96;0.0;0.0;0.0
HETA4;HERCULES S.A. FABRICA DE TALHERES;Consumo Cíclico;Utensílios Domésticos;0;0.0;0.0;5.96;0.0;0.0;0.0
HOOT4;HOTEIS OTHON S.A.;Consumo Cíclico;Hotelaria;0;0.0;0.0;2.22;0.0;0.0;0.0
HYPE3;HYPERA S.A.;Saúde;Medicamentos e Outros Produtos;1.23;0.67;0.58;38.9;1.72;1.72;1.49
IGBR3;IGB ELETRÔNICA S/A;Financeiro;Exploração de Imóveis;0.0;0.0;0.0;32;0.0;0.0;0.0
INEP3;INEPAR S.A. INDUSTRIA E CONSTRUCOES;Bens Industriais;Máq. e Equip. Industriais;0.0;0.0;0.0;0.87;0.0;0.0;0.0
INEP4;INEPAR S.A. INDUSTRIA E CONSTRUCOES;Bens Industriais;Máq. e Equip. Industriais;0.0;0.0;0.0;0.88;0.0;0.0;0.0
INTB3;INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA;Tecnologia da Informação;Computadores e Equipamentos;0.16;0.02;0.0;25.26;0.08;0.08;0.0
IRBR3;IRB - BRASIL RESSEGUROS S.A.;Financeiro;Seguradoras;0;0.1;0.0;2.77;3.61;3.61;0.0
ITSA3;ITAUSA S.A.;Financeiro;Bancos;0.43;0.44;0.43;9.34;4.71;4.71;4.6
ITSA4;ITAUSA S.A.;Financeiro;Bancos;0.43;0.47;0.43;8.89;5.29;5.29;4.84
ITUB3;ITAU UNIBANCO HOLDING S.A.;Financeiro;Bancos;0.91;0.97;0.95;20.69;4.69;4.69;4.59
ITUB4;ITAU UNIBANCO HOLDING S.A.;Financeiro;Bancos;0.91;0.97;0.95;24.1;4.02;4.02;3.94
JALL3;JALLES MACHADO S.A.;Consumo não Cíclico;Açucar e Alcool;0.29;0.03;0.0;9.72;0.31;0.31;0.0
JBSS3;JBS S.A.;Consumo não Cíclico;Carnes e Derivados;4.02;0.53;0.07;34.78;1.52;1.52;0.2
JFEN3;JOAO FORTES ENGENHARIA S.A.;Consumo Cíclico;Incorporações;0;0.03;0.0;0.8;3.75;3.75;0.0
JHSF3;JHSF PARTICIPACOES S.A.;Consumo Cíclico;Incorporações;0.6;0.13;0.09;6.58;1.98;1.98;1.37
JOPA3;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;Consumo não Cíclico;Alimentos Diversos;0.86;0.72;0.61;22.6;3.19;3.19;2.7
JOPA4;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;Consumo não Cíclico;Alimentos Diversos;0.94;0.72;0.67;36;2.0;2.0;1.86
KEPL3;KEPLER WEBER S.A.;Bens Industriais;Máq. e Equip. Industriais;10.51;1.4;0.28;17.4;8.05;8.05;1.61
KLBN11;KLABIN S.A.;Materiais Básicos;Papel e Celulose;0.37;0.46;0.51;21.36;2.15;2.15;2.39
KLBN3;KLABIN S.A.;Materiais Básicos;Papel e Celulose;0.07;0.11;0.11;4.86;2.26;2.26;2.26
KLBN4;KLABIN S.A.;Materiais Básicos;Papel e Celulose;0.07;0.15;0.15;4.17;3.6;3.6;3.6
LCAM3;CIA LOCAÇÃO DAS AMÉRICAS;Consumo Cíclico;Aluguel de carros;0.43;0.24;0.17;23.14;1.04;1.04;0.73
LEVE3;MAHLE-METAL LEVE S.A.;Consumo Cíclico;Automóveis e Motocicletas;0.93;0.97;0.81;24.36;3.98;3.98;3.33
LIGT3;LIGHT S.A.;Utilidade Pública;Energia Elétrica;0.44;0.64;0.31;7.63;8.39;8.39;4.06
LIPR3;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Utilidade Pública;Energia Elétrica;1.11;1.16;0.42;66.1;1.75;1.75;0.64
LJQQ3;LOJAS QUERO-QUERO S/A;Consumo Cíclico;Produtos Diversos;0.14;0.02;0.0;7.7;0.26;0.26;0.0
LLIS3;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados;0;0.28;0.03;1.84;15.22;15.22;1.63
LOGG3;LOG COMMERCIAL PROPERTIES;Financeiro;Exploração de Imóveis;0.33;0.07;0.0;20.48;0.34;0.34;0.0
LOGN3;LOG-IN LOGISTICA INTERMODAL S.A.;Bens Industriais;Transporte Hidroviário;0;0.0;0.0;33.64;0.0;0.0;0.0
LPSB3;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Financeiro;Intermediação Imobiliária;0;0.09;0.0;2.72;3.31;3.31;0.0
LREN3;LOJAS RENNER S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados;0.41;0.91;0.62;24.08;3.78;3.78;2.57
LUPA3;LUPATECH S.A.;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços;0;0.0;0.0;4.03;0.0;0.0;0.0
LUXM4;TREVISA INVESTIMENTOS S.A.;Bens Industriais;Transporte Hidroviário;1.61;1.35;0.96;83;1.63;1.63;1.16
LWSA3;LOCAWEB SERVIÇOS DE INTERNET S.A.;Tecnologia da Informação;Programas e Serviços;0.0;0.0;0.0;6.31;0.0;0.0;0.0
MAPT3;CEMEPE INVESTIMENTOS S.A.;Outros;Outros;0;0.0;0.0;37;0.0;0.0;0.0
MAPT4;CEMEPE INVESTIMENTOS S.A.;Outros;Outros;0;0.0;0.0;14.17;0.0;0.0;0.0
MDIA3;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Consumo não Cíclico;Alimentos Diversos;0.2;0.5;0.46;25.85;1.93;1.93;1.78
MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;Consumo Cíclico;Restaurante e Similares;0;0.0;0.0;1.79;0.0;0.0;0.0
MELK3;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Consumo Cíclico;Incorporações;0.49;0.05;0.0;3.53;1.42;1.42;0.0
MERC3;MERCANTIL BRASIL FINANC S.A. C.F.I.;Financeiro;Soc. Crédito e Financiamento;0;0.2;0.14;24.1;0.83;0.83;0.58
MERC4;MERCANTIL BRASIL FINANC S.A. C.F.I.;Financeiro;Soc. Crédito e Financiamento;0.52;0.46;0.49;9;5.11;5.11;5.44
MGEL4;MANGELS INDUSTRIAL S.A.;Materiais Básicos;Artefatos de Ferro e Aço;0;0.0;0.0;15.11;0.0;0.0;0.0
MGLU3;MAGAZINE LUIZA S.A.;Consumo Cíclico;Eletrodomésticos;0.02;0.08;0.02;2.9;2.76;2.76;0.69
MILS3;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.;Bens Industriais;Serviços Diversos;0.19;0.11;0.0;6.73;1.63;1.63;0.0
MMXM3;MMX MINERACAO E METALICOS S.A.;Materiais Básicos;Minerais Metálicos;0;0.0;0.0;14;0.0;0.0;0.0
MNDL3;MUNDIAL S.A. - PRODUTOS DE CONSUMO;Consumo Cíclico;Acessórios;0;0.0;0.0;24.4;0.0;0.0;0.0
MNPR3;MINUPAR PARTICIPACOES S.A.;Consumo não Cíclico;Carnes e Derivados;0;0.0;0.0;7.2;0.0;0.0;0.0
MOAR3;MONTEIRO ARANHA S.A.;Financeiro;Holdings Diversificadas;52.24;13.3;9.14;475;2.8;2.8;1.92
MODL11;BANCO MODAL S.A;Financeiro;Bancos;0.21;0.02;0.0;7.91;0.25;0.25;0.0
MODL3;BANCO MODAL S.A;Financeiro;Bancos;0.03;0.0;0.0;2.97;0.0;0.0;0.0
MODL4;BANCO MODAL S.A;Financeiro;Bancos;0.03;0.0;0.0;2.38;0.0;0.0;0.0
MOVI3;MOVIDA PARTICIPACOES SA;Consumo Cíclico;Aluguel de carros;0.52;0.13;0.0;15.51;0.84;0.84;0.0
MRFG3;MARFRIG GLOBAL FOODS S.A.;Consumo não Cíclico;Carnes e Derivados;4.1;0.41;0.0;15.26;2.69;2.69;0.0
MRSA3B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário;0.29;0.51;0.57;38.7;1.32;1.32;1.47
MRSA5B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário;0.32;0.35;0.16;33;1.06;1.06;0.48
MRSA6B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário;0.32;0.43;0.44;30.97;1.39;1.39;1.42
MRVE3;MRV ENGENHARIA E PARTICIPACOES S.A.;Consumo Cíclico;Incorporações;0.64;0.62;0.38;8.44;7.35;7.35;4.5
MSPA3;CIA MELHORAMENTOS DE SAO PAULO;Materiais Básicos;Papel e Celulose;0;1.24;0.0;50.01;2.48;2.48;0.0
MSPA4;CIA MELHORAMENTOS DE SAO PAULO;Materiais Básicos;Papel e Celulose;0;1.35;0.0;46.5;2.9;2.9;0.0
MTIG4;METALGRAFICA IGUACU S.A.;Materiais Básicos;Embalagens;0;0.04;0.0;40;0.1;0.1;0.0
MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Consumo Cíclico;Incorporações;0.56;0.06;0.0;4.84;1.24;1.24;0.0
MTSA3;METISA METALURGICA TIMBOENSE S.A.;Bens Industriais;Máq. e Equip. Construção e Agrícolas;2.05;0.57;0.5;70;0.81;0.81;0.71
MTSA4;METISA METALURGICA TIMBOENSE S.A.;Bens Industriais;Máq. e Equip. Construção e Agrícolas;2.26;0.72;0.6;38.5;1.87;1.87;1.56
MULT3;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Financeiro;Exploração de Imóveis;0.5;0.52;0.5;22.59;2.3;2.3;2.21
MWET3;WETZEL S.A.;Bens Industriais;Material Rodoviário;0;0.0;0.0;16.99;0.0;0.0;0.0
MWET4;WETZEL S.A.;Bens Industriais;Material Rodoviário;0;0.0;0.0;10;0.0;0.0;0.0
MYPK3;IOCHPE MAXION S.A.;Consumo Cíclico;Automóveis e Motocicletas;1.01;0.54;0.44;16.11;3.35;3.35;2.73
NEOE3;NEOENERGIA S.A.;Utilidade Pública;Energia Elétrica;0.36;0.12;0.0;16.99;0.71;0.71;0.0
NGRD3;NEOGRID PARTICIPACOES S.A.;Tecnologia da Informação;Programas e Serviços;0.01;0.0;0.0;2.1;0.0;0.0;0.0
NORD3;NORDON INDUSTRIAS METALURGICAS S.A.;Bens Industriais;Máq. e Equip. Industriais;0;0.0;0.0;9.99;0.0;0.0;0.0
NTCO3;NATURA &CO HOLDING S.A.;Consumo não Cíclico;Produtos de Uso Pessoal;0;0.0;0.0;15.65;0.0;0.0;0.0
NUTR3;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;Materiais Básicos;Fertilizantes e Defensivos;0;0.0;0.0;250;0.0;0.0;0.0
ODER4;CONSERVAS ODERICH S.A.;Consumo não Cíclico;Alimentos Diversos;2.94;0.47;0.09;190;0.25;0.25;0.05
ODPV3;ODONTOPREV S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;0.66;0.42;0.36;9.65;4.35;4.35;3.73
OFSA3;OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;Saúde;Medicamentos e Outros Produtos;0.47;0.2;0.19;21.45;0.93;0.93;0.89
OIBR3;OI S.A.;Comunicações;Telecomunicações;0;0.2;0.0;0.55;36.36;36.36;0.0
OIBR4;OI S.A.;Comunicações;Telecomunicações;0;0.22;0.0;1.08;20.37;20.37;0.0
OSXB3;OSX BRASIL S.A.;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços;0;0.0;0.0;6.28;0.0;0.0;0.0
PARD3;INSTITUTO HERMES PARDINI S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;0.29;0.17;0.11;18.54;0.92;0.92;0.59
PATI3;PANATLANTICA S.A.;Materiais Básicos;Artefatos de Ferro e Aço;2.37;0.51;0.27;74.38;0.69;0.69;0.36
PATI4;PANATLANTICA S.A.;Materiais Básicos;Artefatos de Ferro e Aço;2.37;1.45;1.16;60.2;2.41;2.41;1.93
PCAR3;CIA BRASILEIRA DE DISTRIBUICAO;Consumo não Cíclico;Alimentos;2.18;0.87;0.86;19.65;4.43;4.43;4.38
PDGR3;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Consumo Cíclico;Incorporações;0;0.01;0.0;1.18;0.85;0.85;0.0
PEAB3;CIA PARTICIPACOES ALIANCA DA BAHIA;Financeiro;Holdings Diversificadas;12.78;6.65;2.69;61;10.9;10.9;4.41
PEAB4;CIA PARTICIPACOES ALIANCA DA BAHIA;Financeiro;Holdings Diversificadas;12.43;7.02;2.96;71.01;9.89;9.89;4.17
PETR3;PETROLEO BRASILEIRO S.A. PETROBRAS;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;5.65;0.81;0.29;32.91;2.46;2.46;0.88
PETR4;PETROLEO BRASILEIRO S.A. PETROBRAS;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;5.65;0.9;0.25;29.65;3.04;3.04;0.84
PETZ3;PET CENTER COMERCIO E PARTICIPACOES S.A.;Consumo Cíclico;Produtos Diversos;0.04;0.01;0.0;11.15;0.09;0.09;0.0
PFRM3;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;Saúde;Medicamentos e Outros Produtos;0.27;0.08;0.0;3.49;2.29;2.29;0.0
PINE4;BCO PINE S.A.;Financeiro;Bancos;0;0.25;0.2;1.19;21.01;21.01;16.81
PLAS3;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;Consumo Cíclico;Automóveis e Motocicletas;0;0.0;0.0;7.77;0.0;0.0;0.0
PLPL3;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;Consumo Cíclico;Incorporações;0.2;0.02;0.0;2.33;0.86;0.86;0.0
PMAM3;PARANAPANEMA S.A.;Materiais Básicos;Artefatos de Cobre;0;0.15;0.0;6.37;2.35;2.35;0.0
PNVL3;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;Saúde;Medicamentos e Outros Produtos;0.29;0.58;0.19;10.28;5.64;5.64;1.85
POMO3;MARCOPOLO S.A.;Bens Industriais;Material Rodoviário;0.11;0.1;0.11;2.26;4.42;4.42;4.87
POMO4;MARCOPOLO S.A.;Bens Industriais;Material Rodoviário;0.11;0.12;0.11;2.68;4.48;4.48;4.1
POSI3;POSITIVO TECNOLOGIA S.A.;Tecnologia da Informação;Computadores e Equipamentos;0.34;0.06;0.03;6.89;0.87;0.87;0.44
PPLA11;PPLA PARTICIPATIONS LTD.;Financeiro;Gestão de Recursos e Investimentos;0;2.25;0.0;5.41;41.59;41.59;0.0
PRIO3;PETRO RIO S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;0.0;0.0;0.0;27.1;0.0;0.0;0.0
PRNR3;PRINER SERVIÇOS INDUSTRIAIS S.A.;Bens Industriais;Serviços Diversos;0.05;0.01;0.0;6.19;0.16;0.16;0.0
PSSA3;PORTO SEGURO S.A.;Financeiro;Seguradoras;2.61;1.9;1.62;18.73;10.14;10.14;8.65
PTBL3;PBG S/A;Bens Industriais;Produtos para Construção;1.13;0.22;0.11;7.75;2.84;2.84;1.42
PTNT3;PETTENATI S.A. INDUSTRIA TEXTIL;Consumo Cíclico;Fios e Tecidos;0.2;0.12;0.12;13.1;0.92;0.92;0.92
PTNT4;PETTENATI S.A. INDUSTRIA TEXTIL;Consumo Cíclico;Fios e Tecidos;0.2;0.12;0.12;5.55;2.16;2.16;2.16
QUAL3;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;2.19;0.93;1.02;12.2;7.62;7.62;8.36
RADL3;RAIA DROGASIL S.A.;Saúde;Medicamentos e Outros Produtos;0.19;0.17;0.13;20.8;0.82;0.82;0.62
RAIL3;RUMO S.A.;Bens Industriais;Transporte Ferroviário;0;0.0;0.0;17.46;0.0;0.0;0.0
RANI3;IRANI PAPEL E EMBALAGEM S.A.;Materiais Básicos;Papel e Celulose;0.35;0.1;0.08;7.04;1.42;1.42;1.14
RAPT3;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Bens Industriais;Material Rodoviário;0.65;0.21;0.2;8.61;2.44;2.44;2.32
RAPT4;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Bens Industriais;Material Rodoviário;0.65;0.21;0.2;9.77;2.15;2.15;2.05
RCSL3;RECRUSUL S.A.;Bens Industriais;Material Rodoviário;0;0.0;0.0;2.38;0.0;0.0;0.0
RCSL4;RECRUSUL S.A.;Bens Industriais;Material Rodoviário;0;0.0;0.0;0.77;0.0;0.0;0.0
RDNI3;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;Consumo Cíclico;Incorporações;0.01;0.26;0.01;7.84;3.32;3.32;0.13
RDOR3;Rede DOr São Luiz S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;1.38;0.14;0.0;33.2;0.42;0.42;0.0
REDE3;REDE ENERGIA PARTICIPAÇÕES S.A.;Utilidade Pública;Energia Elétrica;0.98;0.16;0.02;5.9;2.71;2.71;0.34
RENT3;LOCALIZA RENT A CAR S.A.;Consumo Cíclico;Aluguel de carros;0.44;0.33;0.31;51.77;0.64;0.64;0.6
RNEW11;RENOVA ENERGIA S.A.;Utilidade Pública;Energia Elétrica;0;0.03;0.0;4.56;0.66;0.66;0.0
RNEW3;RENOVA ENERGIA S.A.;Utilidade Pública;Energia Elétrica;0;0.03;0.0;1.73;1.73;1.73;0.0
RNEW4;RENOVA ENERGIA S.A.;Utilidade Pública;Energia Elétrica;0;0.0;0.0;1.47;0.0;0.0;0.0
ROMI3;INDUSTRIAS ROMI S.A.;Bens Industriais;Máq. e Equip. Industriais;0.78;0.47;0.05;13.1;3.59;3.59;0.38
RPAD3;ALFA HOLDINGS S.A.;Financeiro;Bancos;0;0.0;0.0;6.48;0.0;0.0;0.0
RPAD5;ALFA HOLDINGS S.A.;Financeiro;Bancos;0.55;0.43;0.43;7.8;5.51;5.51;5.51
RPAD6;ALFA HOLDINGS S.A.;Financeiro;Bancos;0;0.0;0.0;4.75;0.0;0.0;0.0
RPMG3;REFINARIA DE PETROLEOS MANGUINHOS S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;0;0.0;0.0;2.29;0.0;0.0;0.0
RSID3;ROSSI RESIDENCIAL S.A.;Consumo Cíclico;Incorporações;0;0.03;0.0;2.11;1.42;1.42;0.0
RSUL4;METALURGICA RIOSULENSE S.A.;Bens Industriais;Material Rodoviário;0.0;0.0;0.0;69.67;0.0;0.0;0.0
SANB11;BCO SANTANDER (BRASIL) S.A.;Financeiro;Bancos;2.84;1.4;1.35;31.1;4.5;4.5;4.34
SANB3;BCO SANTANDER (BRASIL) S.A.;Financeiro;Bancos;1.35;0.62;0.6;14.93;4.15;4.15;4.02
SANB4;BCO SANTANDER (BRASIL) S.A.;Financeiro;Bancos;1.49;0.69;0.65;16.47;4.19;4.19;3.95
SAPR11;CIA SANEAMENTO DO PARANA - SANEPAR;Utilidade Pública;água e Saneamento;0.99;0.46;0.0;19.34;2.38;2.38;0.0
SAPR3;CIA SANEAMENTO DO PARANA - SANEPAR;Utilidade Pública;água e Saneamento;0.18;0.2;0.19;3.79;5.28;5.28;5.01
SAPR4;CIA SANEAMENTO DO PARANA - SANEPAR;Utilidade Pública;água e Saneamento;0.2;0.27;0.23;3.87;6.98;6.98;5.94
SBSP3;CIA SANEAMENTO BASICO EST SAO PAULO;Utilidade Pública;água e Saneamento;0.4;1.14;1.09;43.05;2.65;2.65;2.53
SCAR3;SAO CARLOS EMPREEND E PARTICIPACOES S.A.;Financeiro;Exploração de Imóveis;0.37;0.52;0.4;29.69;1.75;1.75;1.35
SEER3;SER EDUCACIONAL S.A.;Consumo Cíclico;Serviços Educacionais;0.42;0.43;0.28;7.18;5.99;5.99;3.9
SGPS3;SPRINGS GLOBAL PARTICIPACOES S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;2.56;0.0;0.0;0.0
SHOW3;T4F ENTRETENIMENTO S.A.;Consumo Cíclico;Produção de Eventos e Shows;0;0.07;0.01;3.36;2.08;2.08;0.3
SHUL3;SCHULZ S.A.;Bens Industriais;Motores . Compressores e Outros;0.25;0.08;0.05;112.01;0.07;0.07;0.04
SHUL4;SCHULZ S.A.;Bens Industriais;Motores . Compressores e Outros;0.28;0.16;0.15;4.48;3.57;3.57;3.35
SIMH3;SIMPAR S.A.;Financeiro;Holdings Diversificadas;0.45;0.04;0.0;10.92;0.37;0.37;0.0
SLCE3;SLC AGRICOLA S.A.;Consumo não Cíclico;Agricultura;1.06;0.99;0.79;52.69;1.88;1.88;1.5
SLED3;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;Consumo Cíclico;Produtos Diversos;0.0;0.22;0.0;12;1.83;1.83;0.0
SLED4;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;Consumo Cíclico;Produtos Diversos;0.0;0.22;0.0;3.75;5.87;5.87;0.0
SMTO3;SAO MARTINHO S.A.;Consumo não Cíclico;Açucar e Alcool;2.33;0.55;0.34;45.25;1.22;1.22;0.75
SNSY3;SANSUY S.A. INDUSTRIA DE PLASTICOS;Materiais Básicos;Materiais Diversos;0;0.0;0.0;8.47;0.0;0.0;0.0
SNSY5;SANSUY S.A. INDUSTRIA DE PLASTICOS;Materiais Básicos;Materiais Diversos;0;0.0;0.0;3.03;0.0;0.0;0.0
SNSY6;SANSUY S.A. INDUSTRIA DE PLASTICOS;Materiais Básicos;Materiais Diversos;0;0.0;0.0;11.51;0.0;0.0;0.0
SOND3;SONDOTECNICA ENGENHARIA SOLOS S.A.;Bens Industriais;Engenharia Consultiva;7.74;5.16;1.16;46.01;11.21;11.21;2.52
SOND5;SONDOTECNICA ENGENHARIA SOLOS S.A.;Bens Industriais;Engenharia Consultiva;8.52;7.04;1.49;40;17.6;17.6;3.73
SOND6;SONDOTECNICA ENGENHARIA SOLOS S.A.;Bens Industriais;Engenharia Consultiva;8.52;6.96;1.49;43;16.19;16.19;3.47
SQIA3;SINQIA S.A.;Tecnologia da Informação;Programas e Serviços;0.02;0.06;0.02;17;0.35;0.35;0.12
STBP3;SANTOS BRASIL PARTICIPACOES S.A.;Bens Industriais;Serviços de Apoio e Armazenagem;0.26;0.09;0.02;6.69;1.35;1.35;0.3
SULA11;SUL AMERICA S.A.;Financeiro;Seguradoras;0.37;0.62;0.44;24.88;2.49;2.49;1.77
SULA3;SUL AMERICA S.A.;Financeiro;Seguradoras;0.19;0.24;0.15;8.37;2.87;2.87;1.79
SULA4;SUL AMERICA S.A.;Financeiro;Seguradoras;0.12;0.16;0.0;8.13;1.97;1.97;0.0
SUZB3;SUZANO S.A.;Materiais Básicos;Papel e Celulose;0;0.19;0.14;51.69;0.37;0.37;0.27
TAEE11;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Utilidade Pública;Energia Elétrica;4.5;2.5;2.33;40.34;6.2;6.2;5.78
TASA3;TAURUS ARMAS S.A.;Bens Industriais;Armas e Munições;0;0.01;0.0;18.39;0.05;0.05;0.0
TASA4;TAURUS ARMAS S.A.;Bens Industriais;Armas e Munições;0;0.01;0.0;18.3;0.05;0.05;0.0
TCNO3;TECNOSOLO ENGENHARIA S.A.;Bens Industriais;Engenharia Consultiva;0;0.0;0.0;1.43;0.0;0.0;0.0
TCNO4;TECNOSOLO ENGENHARIA S.A.;Bens Industriais;Engenharia Consultiva;0;0.0;0.0;1.17;0.0;0.0;0.0
TCSA3;TECNISA S.A.;Consumo Cíclico;Incorporações;0;0.24;0.0;2.13;11.27;11.27;0.0
TECN3;TECHNOS S.A.;Consumo Cíclico;Acessórios;0;0.14;0.05;2.38;5.88;5.88;2.1
TEKA3;TEKA-TECELAGEM KUEHNRICH S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;26.1;0.0;0.0;0.0
TEKA4;TEKA-TECELAGEM KUEHNRICH S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;12.27;0.0;0.0;0.0
TELB3;TELEC BRASILEIRAS S.A. TELEBRAS;Comunicações;Telecomunicações;0;0.0;0.0;31.5;0.0;0.0;0.0
TELB4;TELEC BRASILEIRAS S.A. TELEBRAS;Comunicações;Telecomunicações;0;0.0;0.0;13.9;0.0;0.0;0.0
TEND3;CONSTRUTORA TENDA S.A.;Consumo Cíclico;Incorporações;0.18;0.15;0.0;4.27;3.51;3.51;0.0
